PRCDDA,PwMode,SA_im
35200002,Car/motor,56.82041392
35200002,Transit,4.725475217
35200003,Car/motor,66.88809927
35200004,Car/motor,79.9300282
35200004,Transit,4.5038546
35200005,Car/motor,70.42515849
35200005,Transit,6.441747586
35200006,Car/motor,104.9497812
35200006,Transit,2.697550786
35200007,Car/motor,152.8454957
35200007,Transit,7.019739991
35200009,Car/motor,63.60410844
35200009,Transit,4.465751035
35200010,Car/motor,84.39932953
35200012,Car/motor,138.4112553
35200012,Transit,9.393199906
35200018,Car/motor,83.22892241
35200018,Transit,9.551994959
35200028,Car/motor,184.671646
35200028,Transit,20.58909207
35200029,Car/motor,98.52126172
35200029,Transit,5.252754974
35200030,Car/motor,78.37491336
35200030,Transit,5.737155898
35200031,Car/motor,181.4274027
35200031,Transit,19.22493851
35200032,Car/motor,207.0798003
35200032,Transit,16.20068405
35200033,Car/motor,99.17518973
35200033,Transit,10.11626835
35200034,Car/motor,210.1122383
35200034,Transit,8.280332641
35200035,Car/motor,113.5137146
35200035,Transit,13.71780889
35200036,Car/motor,103.8295781
35200036,Transit,5.328892109
35200037,Car/motor,341.9005329
35200037,Transit,29.0415642
35200039,Car/motor,53.70393801
35200039,Transit,7.76396366
35200041,Car/motor,209.778069
35200041,Transit,11.84944333
35200042,Car/motor,216.5403556
35200042,Transit,5.294943807
35200043,Car/motor,159.3823095
35200043,Transit,4.340159574
35200044,Car/motor,73.57821169
35200046,Car/motor,183.1830669
35200046,Transit,11.07108102
35200047,Car/motor,140.965388
35200047,Transit,21.48395287
35200047,Walk,0.393464874
35200048,Car/motor,233.0367041
35200048,Transit,17.1576067
35200048,Walk,0.921144409
35200049,Car/motor,178.3280462
35200049,Transit,20.26352467
35200050,Car/motor,229.9632047
35200050,Transit,16.23332463
35200051,Car/motor,89.91602843
35200051,Transit,8.433590873
35200052,Car/motor,50.61846617
35200052,Transit,4.863670442
35200053,Car/motor,56.55795541
35200054,Car/motor,57.09311595
35200054,Transit,11.59412559
35200055,Car/motor,116.2768657
35200055,Transit,10.7794952
35200056,Car/motor,52.02942273
35200056,Transit,5.445743097
35200057,Car/motor,22.56077368
35200057,Transit,8.71169664
35200058,Car/motor,55.77338095
35200062,Car/motor,110.7925381
35200062,Transit,10.90088018
35200064,Car/motor,182.7711735
35200064,Transit,8.004407144
35200065,Car/motor,84.08256274
35200066,Car/motor,157.9883558
35200067,Car/motor,55.4505728
35200067,Transit,16.56110953
35200068,Car/motor,110.6567158
35200069,Car/motor,143.5038622
35200069,Transit,6.878293434
35200070,Car/motor,95.59395773
35200071,Car/motor,73.23690461
35200072,Car/motor,73.20884701
35200072,Transit,7.33290481
35200073,Car/motor,55.18054435
35200073,Transit,10.48578256
35200074,Car/motor,32.44348136
35200078,Car/motor,165.7179039
35200078,Transit,23.37069623
35200079,Car/motor,211.9087245
35200079,Transit,23.47178506
35200080,Car/motor,83.29683651
35200082,Car/motor,49.72907269
35200085,Car/motor,62.29912444
35200086,Car/motor,120.3645582
35200086,Transit,8.569653586
35200087,Car/motor,151.8077201
35200087,Transit,15.24952911
35200088,Car/motor,100.9768884
35200089,Car/motor,146.205286
35200089,Transit,10.15209271
35200090,Car/motor,73.07032225
35200091,Car/motor,181.4537545
35200091,Transit,11.8357706
35200092,Car/motor,132.7509779
35200092,Transit,21.92055663
35200093,Car/motor,123.8890972
35200093,Transit,13.348581
35200095,Car/motor,129.9051169
35200095,Transit,15.10549324
35200096,Car/motor,7.381536472
35200097,Car/motor,84.03656611
35200099,Car/motor,59.25983705
35200100,Car/motor,103.1879873
35200101,Car/motor,194.0732698
35200101,Transit,18.57952489
35200102,Car/motor,153.5072089
35200102,Transit,0.002025802
35200103,Car/motor,44.7824831
35200104,Car/motor,181.6600041
35200104,Transit,10.39830396
35200105,Car/motor,161.7718388
35200105,Transit,10.90601954
35200106,Car/motor,254.7271903
35200106,Transit,0.003628998
35200107,Car/motor,39.52731698
35200108,Car/motor,77.89598963
35200109,Car/motor,101.4097516
